time_years,d_events,risk_sum,baseline_cumhaz
0.29,1,531.7831842725079,0.001880465628803257
0.42,1,528.1835220266476,0.0037737469567837023
0.52,1,525.6948744831295,0.005675991107410459
0.54,1,523.4684503100448,0.007586325912512296
0.5499999999999999,1,520.933446949992,0.009505956924602018
0.59,1,513.0998064951959,0.011454895488486203
0.66,1,504.9318939636714,0.013435360600622588
0.7999999999999999,1,497.1509629731379,0.015446822056956994
0.82,1,494.6718006996871,0.017468364418145872
0.88,1,489.8524826713781,0.019509795329236832
0.89,1,487.303378667266,0.021561905049335462
0.9,1,486.1657645067688,0.023618816648231226
0.91,1,485.621862935349,0.025678032009655617
0.9199999999999999,1,482.68913429643624,0.02774975877735589
0.94,1,479.1800203145981,0.02983665714040422
0.9900000000000001,1,476.82119783661085,0.03193387933718806
1.03,1,474.01088710284,0.03404353552274956
1.04,1,472.1886179027157,0.03616133328848484
1.05,2,471.05295307679916,0.04040714044654744
1.06,1,462.8895411898505,0.0425674830575071
1.0999999999999999,1,458.27276304471127,0.04474958961203178
1.1500000000000001,1,455.38253393605754,0.04694554559514029
1.17,1,451.9805279668183,0.04915803028889111
1.19,1,450.45009495690954,0.05137803204090686
1.2,1,449.1536625332364,0.05360444158271039
1.27,1,440.2173603719023,0.05587604668059927
1.32,2,430.77548370453053,0.060518836429915186
1.38,1,426.6093880204797,0.0628629011131612
1.4400000000000002,1,422.64990794846574,0.06522892552531352
1.45,1,421.1085002217004,0.06760361043305946
1.51,1,413.06483966272333,0.07002453786134535
1.5199999999999998,1,411.49212002832917,0.07245471805515115
1.67,1,406.75899718415815,0.07491317627469302
1.7300000000000002,1,402.3260745459032,0.07739872236098304
1.75,1,400.0280660772734,0.0798985469603071
1.8,2,398.0435999782883,0.08492312215787111
1.9000000000000001,1,388.4066839063605,0.08749774314518935
1.96,1,385.30452092219383,0.09009309291582424
1.97,1,383.3842548036936,0.09270144207849926
1.9800000000000002,1,382.1810113910127,0.09531800326336903
2.03,1,379.39373135838287,0.09795378745626963
2.04,1,377.7130021005063,0.10060130023565209
2.09,1,375.4136829592452,0.10326502839845472
2.11,1,372.0457736319639,0.10595286970958658
2.16,1,370.0634883701126,0.10865510873458292
2.25,2,367.1382293099703,0.11410264821789678
2.32,1,364.3323219327285,0.11684739508717028
2.35,1,359.9993956420244,0.11962517752821186
2.39,1,356.81167733417766,0.12242777638784345
2.47,1,352.57952232267144,0.12526401597831185
2.52,1,350.36026698096424,0.12811822090462083
2.53,1,347.8460344943268,0.13099305603520878
2.54,1,345.410452320365,0.1338881624029585
2.5500000000000003,1,344.11538886333983,0.13679416437893271
2.6,1,342.29976094499614,0.13971558038354595
2.63,1,338.7736408552172,0.1426674039004983
2.66,2,336.470320134883,0.14861146458079322
2.7100000000000004,2,331.00051666283423,0.15465375122180547
2.76,1,325.7056542338653,0.15772400802269593
2.78,1,324.90635641812713,0.16080181792159826
2.8000000000000003,1,323.3489463894008,0.16389445209024567
2.84,1,320.02124281921294,0.16701924465460966
2.86,1,316.8939094651465,0.17017487488331237
2.92,1,315.8094139680061,0.17334134160586961
2.9299999999999997,1,313.83511992330756,0.1765277281398062
2.94,1,310.89018033049183,0.179744298051847
2.97,1,305.7865771476489,0.18301455278090645
2.98,1,303.07200179054666,0.18631409874388558
2.99,1,301.6170048142177,0.18962956167879522
3.09,1,298.77947298803116,0.1929765118223215
3.1999999999999997,1,291.44227972597304,0.19640772297308606
3.23,1,287.27058807335266,0.19988876155314653
3.25,1,285.1570637792454,0.20339560086039282
3.34,1,282.90244522582805,0.20693038826458704
3.4299999999999997,1,273.7012849541178,0.21058400647893935
3.56,1,267.86887118183733,0.21431717635264658
3.67,1,260.06228887223324,0.21816240898647643
3.75,1,257.34004138444755,0.22204831805301797
3.84,1,253.6214329782351,0.22599120248615584
3.8800000000000003,1,251.94094094650066,0.2299603866776698
3.92,1,250.46617982014777,0.23395294168337186
3.9299999999999997,1,249.35269643702904,0.2379633254261141
3.9499999999999997,2,244.15549558759514,0.24615482648238446
4.03,1,239.02846612430073,0.2503384286123499
4.06,1,237.71145974268438,0.25454520939221836
4.1000000000000005,2,235.1693690639661,0.2630497183253354
4.11,1,229.99671483544546,0.2673976065145883
4.12,1,228.52166862674792,0.27177355915841983
4.13,2,225.6196564754406,0.2806380350256531
4.17,2,221.08292828913508,0.28968441420778684
4.19,1,217.71382747017614,0.2942775997285227
4.21,1,216.4223539840512,0.2988981945127089
4.24,1,214.18032662543365,0.30356715741773255
4.2700000000000005,1,211.13823321631529,0.3083033910442377
4.3,1,207.4319903090598,0.313124248224994
4.32,1,203.59506581720677,0.3180359586143697
4.33,1,201.03167230243756,0.32301029916751184
4.34,2,196.6967878326726,0.333178233387675
4.36,1,190.0485908515614,0.33844004561958496
4.37,1,189.1414155896931,0.3437270949783003
4.5,1,186.66290752427201,0.34908434572116664
4.51,1,185.8499042228422,0.35446503184086975
4.55,1,183.13872068692763,0.3599253735766269
4.56,2,182.0557774986512,0.37091101779774927
4.64,1,174.6264486411975,0.3766375271998541
4.81,2,166.52129287273848,0.38864800325067644
4.8500000000000005,1,162.04162785707155,0.3948192569786509
4.93,1,158.5116583539991,0.40112794121288387
4.94,1,156.09741577258646,0.40753419717202716
5.08,1,153.75919398772294,0.41403787330393926
5.11,1,151.71186904818472,0.4206293153992337
5.21,1,149.06122798268933,0.4273379680350226
5.24,1,147.87410061484982,0.4341004774659647
5.390000000000001,1,147.05464503114592,0.4409006706852146
5.47,1,143.060381191259,0.44789072615461173
5.53,1,140.3223729968955,0.45501717348188236
5.56,1,138.62871810843666,0.46223068604727874
5.579999999999999,1,136.57503270194218,0.4695526685518144
5.609999999999999,1,135.57921166035445,0.4769284305713277
5.640000000000001,1,134.04488282360506,0.4843886183751094
5.68,3,131.59227591100344,0.5071863090391794
5.72,1,125.97770031406388,0.5151242218404687
5.829999999999999,1,121.70016343511102,0.523341137675041
5.8500000000000005,1,117.8934857331728,0.5318233705463574
5.859999999999999,2,116.37168827253875,0.5490096813208137
5.91,1,110.7518147608425,0.5580388787399206
5.95,1,106.2263268016599,0.5674527409161695
6.02,1,103.01902089072478,0.5771596862099005
6.07,1,97.17964673331585,0.5874499067819534
6.09,1,93.17653502902442,0.5981822225918138
6.140000000000001,3,92.00324680706296,0.6307897674786938
6.16,1,88.55955285869415,0.6420816040758771
6.260000000000001,1,83.18494463984919,0.6541030101647977
6.27,2,81.61681089889476,0.6786077657166601
6.390000000000001,1,70.77606076908916,0.692736836890352
6.420000000000001,1,69.84947706180219,0.7070533363412386
6.489999999999999,1,66.50480959457337,0.7220898428149237
6.52,1,65.00140774047283,0.7374741250137438
6.56,1,62.60053105148463,0.7534484303942774
6.69,1,55.26384293488351,0.7715434441843659
6.7,2,54.28596486815402,0.8083853793854342
6.829999999999999,1,51.55200359877746,0.8277832675409145
6.91,1,47.54023183756024,0.8488180829245855
6.920000000000001,1,46.97244563632548,0.8701071596684768
6.97,1,44.04491952924289,0.8928112538225386
6.98,1,41.60077214671396,0.9168492691861305
7.010000000000001,1,39.623284326952266,0.942086954980889
7.05,1,37.67740008594273,0.9686280644448909
7.32,1,30.940673205169084,1.000947981770831
7.37,1,28.915842643000257,1.0355310998333467
7.46,1,25.10215276796481,1.0753683205388231
7.489999999999999,1,22.775754613650456,1.1192746594050076
7.68,1,19.111019720588,1.1716004910257407
8.08,1,11.091072597986328,1.2617630962350472
8.459999999999999,1,8.51542806507599,1.3791970047077478
8.540000000000001,1,6.8610910233439775,1.5249464192830142
